"","B.I_No","GBT_No","Wales_No","Scot_No","Book_Name","Link","Latitude","Longitude","Grid_Reference","habitat"
"165",NA,NA,NA,128,"The Fairburn Sitka","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=153643",57.53947,-4.58553,"NH4533152874","Suburban"
"166",NA,NA,NA,129,"The Brahan Elm","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=114623",57.556,-4.49086,"NH5106454502","Improved grass"
"167",NA,NA,NA,132,"Champion Aspen","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=25404",57.88259,-4.44617,"NH55059075","Improved grass"
"168",NA,NA,NA,133,"The Dundonnell Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=153613",57.82338,-5.18069,"NH1120285974","Improved grass"
"169",NA,NA,NA,134,"The Big Tree of Orkney","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=11121",58.98249,-2.95943,"HY44951099","Urban"
"170",76,NA,67,NA,"The Buttington Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=31732",52.6717,-3.11059,"SJ25000880","Suburban"
"171",77,NA,61,NA,"The Pontfadog Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=194",52.9383,-3.1427,"SJ23303849","Improved grass"
"172",78,NA,58,NA,"The Gresford Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=210",53.08784,-2.97704,"SJ3465954960","Suburban"
"173",79,NA,56,NA,"The Three Sisters","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=2626",53.14058,-3.35542,"SJ09436124","Broadleaf"
"174",80,NA,55,NA,"The Pulpit Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=3473",53.14688,-3.49034,"SJ00426212","Broadleaf"
"175",81,NA,54,NA,"The Llangernyw Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=5126",53.19234,-3.68508,"SH8751567464","Suburban"
"176",82,NA,64,NA,"Pennant Melangell Yews","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=5100",52.82747,-3.44945,"SJ0243626533","Improved grass"
"177",83,NA,45,NA,"Dafydd ap Gwilym's Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=12810",52.27587,-3.83866,"SN7465065783","Improved grass"
"178",84,NA,43,NA,"The Bleeding Yew of Nevern","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=11075",52.025158,-4.7951448,"SN0832939994","Suburban"
"179",86,NA,38,NA,"The Talley Abbey Ash","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=3548",51.97774,-3.9888,"SN6349932899","Improved grass"
"180",88,NA,20,NA,"The Bettws Newydd Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=5301",51.74794,-2.92556,"SO3619805876","Improved grass"
"181",NA,NA,4,NA,"Discoed Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4059",52.27615301,-3.061643267,"SO2766264753","Suburban"
"182",NA,NA,6,NA,"Llanfihangel-Nant-Melan Yews","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=184816",52.21562207,-3.20161879,"SO1800158170","Suburban"
"183",NA,NA,7,NA,"Llanafan Fawr Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=10624",52.19063132,-3.509112591,"SN9693655783","Suburban"
"184",NA,NA,8,NA,"Alltmawr Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=10625",52.11234815,-3.354820198,"SO0732046868","Improved grass"
"185",NA,NA,11,NA,"Millennium Derwen","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=2694",51.82270278,-2.853075008,"SO4130014130","Improved grass"
"186",NA,NA,12,NA,"Crickhowell Black Poplars","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=154794",51.85701225,-3.14280571,"SO2139118220","Freshwater"
"187",NA,NA,13,NA,"The Weird Birches of Ty-uchaf","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=243791",51.831879,-3.128814,"SO2231215410","Acid grass"
"188",NA,NA,14,NA,"Ty-uchaf Wall Ash","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=243894",51.827457,-3.1210416,"SO22841491","Improved grass"
"189",NA,NA,19,NA,"Llangattock-juxta-Usk Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=3177",51.7814265,-2.97255585,"SO3300409643","Suburban"
"190",NA,NA,23,NA,"Monmouth Catalpa","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=3240",51.81305376,-2.711069894,"SO5107712952","Urban"
"191",NA,NA,24,NA,"Caeryder Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=180328",51.622924,-2.9379218,"ST3516791984","Improved grass"
"192",NA,NA,25,NA,"Curley Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=14536",51.638754,-2.8621956,"ST40439368","Conifer"
"193",NA,NA,28,NA,"Mamhilad Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=177508",51.72513251,-3.007141994,"SO3053103415","Suburban"
"194",NA,NA,33,NA,"Llangorse Wych Elm","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=238408",51.946457,-3.247896,"SO1432528287","Improved grass"
"195",NA,NA,35,NA,"Brecon Black Poplar","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=2165",51.945028,-3.3937121,"SO04302831","Improved grass"
"196",NA,NA,36,NA,"Rhandirmwyn Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=77528",52.075393,-3.787376,"SN77604340","Improved grass"
"197",NA,NA,37,NA,"Defynnog Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=10610",51.9396992,-3.56479319,"SN9252827956","Suburban"
"198",NA,NA,46,NA,"Ystrad Meurig Ash","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4571",52.289759,-3.8962888,"SN70766743","Improved grass"
"199",NA,NA,47,NA,"Hafod Beeches","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4106",52.338767,-3.8217605,"SN75987275","Broadleaf"
"200",NA,NA,48,NA,"Prostrate Blackthorn","",52.404119,-4.0888796,"SN5799380510","Saltmarsh"
"201",NA,NA,50,NA,"Mallwyd Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=132905",52.69684502,-3.683607753,"SH8632012348","Suburban"
"202",NA,NA,51,NA,"Lone Yew of Llynierth","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=11067",52.87131257,-3.650626782,"SH8899431702","Broadleaf"
"203",NA,NA,52,NA,"Llanddeiniolen Yews","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=59038",53.17050916,-4.176959067,"SH5458265924","Suburban"
"204",NA,NA,57,NA,"The Peace Tree","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=238225",53.246327,-3.307243,"SJ1286772942","Suburban"
"205",NA,NA,62,NA,"Great Oak at the Gates of the Dead","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=195",52.931465,-3.0955072,"SJ26463768","Improved grass"
"206",NA,NA,63,NA,"Tan-y-Pistyll Wild Cherries","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=112069",52.85008,-3.3668438,"SJ08052894","Improved grass"
"207",NA,NA,65,NA,"The Patriarch Tree","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=10659",52.67689959,-3.430081193,"SJ0340809759","Suburban"
"208",NA,NA,66,NA,"Buttington Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=31758",52.679733,-3.1067986,"SJ2527009689","Improved grass"
"209",NA,NA,71,NA,"Garthmyl Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=42718",52.583403,-3.194698,"SO19159907","Improved grass"
"210",NA,NA,72,NA,"Garthmyl Cedar of Lebanon","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=238390",52.582348,-3.196234,"SO1904398954","Suburban"
"211",NA,NA,73,NA,"Newtown Black Poplar","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=10228",52.51439131,-3.311914666,"SO1106891531","Improved grass"
"212",NA,NA,74,NA,"Dolfor Sentinel Yews","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=182167",52.48047079,-3.336920413,"SO0930187790","Improved grass"
